condition,generation_seed,question_index,question_sha256,elapsed_seconds,generated_tokens,target_calls,drafted_tokens,accepted_draft_tokens,gamma_matched_blocks,gamma_matched_output_tokens,speed_numerator_tokens,gamma_weighted_seconds,continuation_last_number_correct,native_parser_correct,reached_cap,source_row_sha256
benign,2027,0,2b2e3f9639f6fa282a0b0c1d622e0c75cc03797b43268945f32b134da4fee344,26.691304922103882,143,33,327,110,32,136,143,25.384737548294602,1,1,0,248f17caf32b812d9716c1f06974c8b477df08d399a86c8e3a7e8a0ca2806dc1
benign,2027,1,de563650cee0d9af13492eae156046720df4ca9c1f177f29d4ea25b2c9d82c83,9.499793291091919,58,13,122,45,11,47,58,7.698108356574486,1,1,0,b92f2f827e45b427237f13f98010ed84292943e4831a3ef1e56f665a0f93fdb6
benign,2027,2,d3c6224db7dd6691e29bc2962559f2e3a24bdfacba0eb526357d59462b7ea046,43.265891313552856,349,58,571,291,57,348,349,43.14192027827047,1,0,0,6a8d3660a4cb7236d6f6e1b6a09f888a31c1a3b24ac3dfb52213f79a0c06f6fa
benign,2027,3,94ff3611e184b3ba921a04a94b9310b4a3ada972c4966ff11054d227cc6d7c3c,15.529443979263306,94,21,203,73,20,91,94,15.033823426733626,1,1,0,dbb60cc211b66b4fb6563d0b1a7f16d531852eb137ee083e55634b723ff2f940
benign,2027,4,d28df8f7b843b4df5e4f44d0f267a8d90f9bd47e0ccb23c848b1462f4abffd88,19.087758541107178,130,26,247,104,23,122,130,17.913127246269813,1,1,0,adf60678f4ffbbf1183aee9cc61d091a12d60c0b29dd79d6b9affa86cf87ddb0
benign,2027,5,f76242d8ac82991c0a510d65901528f165ea57ae3b2653ff9be9c0d0c6c79fae,40.98743152618408,335,55,543,280,54,332,335,40.62037990057647,0,0,0,c8452ad1149ca716e3c2b9aa2a7c0ee6da639ab6f3bab6fe7d4c86803497e9df
benign,2027,6,6e9d9c1d48eaa2d8bf8146d69832151bf2840b741813d8e5a8a34c3b68844533,17.854331970214844,151,24,235,127,23,146,151,17.263128924843492,1,1,0,35fc831003a5c5aae1280dfd6dac4b7d24a698aae6ae4177d8678909045adaad
benign,2027,7,6710fc83e60aca754f988ee29df093f21bef44b7019c137c6320573c88e04fa3,50.88245606422424,335,68,674,267,67,331,335,50.27490435002455,1,1,0,ed16e3292b3d65203fdb7d8a53f5522d45ee47aa56fdfbcd92506d362163329b
benign,2027,8,d458d13913f72049e0a432d2c5b6412639ef6609a5d9ccebe0995be35306e4f9,48.85540199279785,360,65,648,295,64,352,360,47.7697263929579,0,0,0,86583d36bb0f8df085742f950e767cc243a5f2f6471874b3a6073cd81bfb782e
benign,2027,9,9b7b776974cef0b5a4a3a3749ce52c6c7862757e777c5a694e1b5e55968239e2,21.8262197971344,202,29,290,173,29,202,202,21.8262197971344,1,1,0,2df800d74daf0190de02b0b06b0208c5060bbf70fe66908b5aa666e7fecf9fb4
